"AgeGroup","Year","n","share_no_trips","avg_distance_km","sd_distance_km","avg_hours_away","sd_hours_away","avg_first_trip_h","sd_first_trip_h","n_trippers","avg_last_trip_h","sd_last_trip_h"
"10-17",2023,713,0.0995792426367461,14.4029172536869,33.5497174636502,7.61213183730715,4.11701224186887,8.52245586708204,2.4457548397619,642,16.9764278296989,2.94660739518221
"18-30",2023,1180,0.121186440677966,27.8992881547991,46.0569171389961,7.58040960451977,4.99481303584526,9.38187078109932,3.37255738922953,1037,18.0076020572163,3.39468828171813
"31-55",2023,2322,0.0973298880275624,33.8318389299784,48.5365411718355,8.10342377260982,4.66612826713594,8.38501908396947,2.91483446389378,2096,17.3621898854962,3.09725984263412
"56-65",2023,1023,0.125122189638319,33.715620572117,50.828543021095,7.0317367220593,4.8366104072534,8.88891992551211,3.07854645051736,895,16.926312849162,3.30946902033728
"66+",2023,1500,0.264666666666667,14.9144333141198,34.0746198870581,3.31084444444444,3.84227343928308,10.8467815049864,2.48419240489249,1103,15.3492898156543,3.5396724928223
"10-17",2024,687,0.104803493449782,13.3493595885376,25.5981699866199,7.8328723920427,4.15966264942631,8.40487804878049,2.29124019495112,615,17.1547696476965,3.04927900324206
"18-30",2024,1201,0.116569525395504,26.7918234896178,40.878357259586,7.71854010546767,4.74041469082674,9.09362236883443,3.25529807801943,1061,17.8306314797361,3.43822360849163
"31-55",2024,2432,0.0974506578947368,34.5380180810638,50.0753697601072,8.09884868421053,4.56442164175871,8.38561123766135,2.7950777017051,2195,17.358914198937,3.08894661963575
"56-65",2024,880,0.115909090909091,29.414818195006,41.9045046317619,7.27823863636364,4.82396391476596,8.92352185089974,3.15043982981528,778,17.1559768637532,3.23255036512069
"66+",2024,1324,0.22583081570997,18.2887310594323,37.8989061375471,3.82229355488419,4.0988813745311,10.8828455284553,2.81300290266299,1025,15.8201300813008,3.72422962071145
